energy_meV,median,lower,upper
474.0,24.567753074793025,20.30387990101066,28.032285649576764
475.0,24.592878109344948,20.323745936063467,28.06137153076938
476.0,24.617977501374753,20.344070168724826,28.090379682214095
477.0,24.643051329234567,20.363999702704998,28.119403139650405
478.0,24.668099670878277,20.38376873979205,28.148101891097234
479.0,24.69312260386443,20.403619929438676,28.177110783349548
480.0,24.71812020535899,20.42354477264407,28.20599708667568
481.0,24.7430925521381,20.44338986108894,28.234805925591655
482.0,24.768039720590885,20.463404082875222,28.26365990206939
483.0,24.792961786722124,20.482902996151502,28.292446336006215
484.0,24.81785882615499,20.502602491287437,28.321231859857374
485.0,24.84273091413371,20.522290879951754,28.349871400563075
486.0,24.86757812552622,20.541809662093417,28.378556126842316
487.0,24.89240053482681,20.56154653535876,28.407297855362348
488.0,24.91719821615869,20.581204500771797,28.436003256994145
